Global Sıra,İlçe,Klinik Adı,Mahalle,Adres,Telefon,Yorum Sayısı,Puan,Tip/Özellik,Eve Kuş Uçuşu (km),Ziyaret Tarihi,Temsilci,Görüşülen Hekim,Durum,Sipariş,Notlar
1,Etimesgut,Mevadent ADSP ⭐ YENİ,Şehit Osman Avcı,Malazgirt 1071. Cd. 12/A,0312 502 17 17,230,4.8,Özel - Büyük,0.8,,,,,,
2,Etimesgut,Kozmonot ADSP ⭐ YENİ,Şehit Osman Avcı,Kaplan Cd. No:3,0537 285 44 76,87,4.9,Özel - Orta,1,,,,,,
3,Etimesgut,Özel Eryaman Başkent ADSP,Şehit Osman Avcı,1419. Cd. No:18,0312 281 12 81,677,4.7,Özel - Büyük,1.2,,,,,,
4,Etimesgut,Eryaman Diş Polikliniği,Şehit Osman Avcı,1419. Cd. No:20,0535 010 07 34,4,5.0,Özel - Küçük,1.3,,,,,,
5,Etimesgut,Dt. İsa Aslan - İmplant Diş Tedavisi Eryaman,Şehit Osman Avcı,"Karma Modern, 1419. Cd. No:10/102",0532 456 62 81,31,5.0,Özel,1.3,,,,,,
6,Etimesgut,Alyadent ADSM Eryaman,Şeker,Rainbow Residence 1417. Cd. No:7-B,0312 280 42 42,560,4.6,Özel - Büyük,1.4,,,,,,
7,Etimesgut,Notadent ADSP ⭐ YENİ,Şeker,1407. Sk. 12 AB,0505 885 95 97,46,5.0,Özel - Küçük,1.6,,,,,,
8,Etimesgut,Anatolya ADSP,Şeker,Şht. Mehmet Çavuş Cd. No:4/3,0850 811 7399,168,4.7,Özel - Orta,1.5,,,,,,
9,Etimesgut,Dt. Gözde Kale Şahin,Şehit Osman Avcı,Şht. Mehmet Çavuş Cd. No:10/2,0850 811 6273,21,5.0,Özel - Küçük,1.3,,,,,,
10,Etimesgut,Dentatölye ADSP ⭐ v3,Altay,Söğüt Cd. 22 bd,0530 260 16 38,19,4.8,Özel - Küçük,2.2,,,,,,
11,Etimesgut,Tekdental ADSP ⭐ YENİ,Altay,Söğüt Cd. 20/A-B,0541 731 20 74,42,5.0,Özel - Küçük,2.2,,,,,,
12,Etimesgut,Denttarz Akademi ADSP (Dt. Şakir Bacak) ⭐ v3,Altay,2666. cd 5B D:A,0533 698 53 88,24,4.9,Özel - Küçük,2.5,,,,,,
13,Etimesgut,Deniz ADSP Eryaman,Altay,Söğüt Cd. No:8,0312 503 42 42,328,4.6,Özel - Büyük,2.5,,,,,,
14,Etimesgut,Apex Oral & Maxillofacial,Altay,Orhan Bey Cd. No:1 D:113,0312 384 87 87,317,4.7,Özel - Büyük (Cerrahi),2.8,,,,,,
15,Etimesgut,Dr. Öğr. Üyesi Özgür Başlarlı (Çene Cerrahi) ⭐ v3,Altay,Orhan Bey Cd. No:1 Atayıldız Plaza,0850 474 0383,6,4.3,Özel - Uzman (Çene Cerrahi),2.8,,,,,,
16,Etimesgut,Özel B Dental ADSP ⭐ YENİ,Altay,Orhan Bey Cd. Ata Yıldız Plaza No:1,0312 347 13 47,65,4.6,Özel - Orta,2.9,,,,,,
17,Etimesgut,Eryaman ADSP Dentallika ⭐ YENİ,Göksu,Meydan Eryaman Ertuğrulbey Cd. 2/1H,0543 133 00 80,19,3.3,Özel - Küçük,2.4,,,,,,
18,Etimesgut,Uzm. Dt. Gizem Yücesoy Ocak (Periodontoloji) ⭐ v3,Göksu,Ertuğrulbey Cd. Meydan Eryaman Center,-,1,5.0,Özel - Uzman (Periodontoloji),2.2,,,,,,
19,Etimesgut,Özel Monat ADSP Eryaman,Göksu,Meydan Eryaman Ertuğrulbey Cd. 2/1H,0543 133 00 80,56,5.0,Özel - Orta,2.2,,,,,,
20,Etimesgut,Klinik 06 ADSP ⭐ YENİ,Göksu,"Metrokent AVM, Metrokent Sitesi",0501 321 42 06,132,4.8,Özel - Orta,1.5,,,,,,
21,Etimesgut,Dt. Burcu Aydoğdu,Şehit Osman Avcı,Selçuklular Cd. Cumhuriyet Sitesi B/7,0545 585 75 25,83,5.0,Özel - Küçük,1.5,,,,,,
22,Etimesgut,Lotus ADSP Malazgirt ⭐ YENİ,Şehit Osman Avcı,Malazgirt 1071. Cd. 43/B,0312 577 70 70,223,4.6,Özel - Büyük,1,,,,,,
23,Etimesgut,Dt. Nilüfer Aydemir,Şehit Osman Avcı,Metropark Plus Malazgirt 1071 30,0312 283 75 45,80,4.8,Özel - Küçük,0.8,,,,,,
24,Etimesgut,Dt. Engin Maya Çocuk Diş Hekimi (Eryaman),Şehit Osman Avcı,Malazgirt 1071. Cd. No:46C D:3,0545 232 25 45,77,5.0,Özel - UZMAN (Pedodonti),1.2,,,,,,
25,Etimesgut,Emir Maya ADSP,Şehit Osman Avcı,Malazgirt 1071 Cd. No:46 C/3,0545 232 25 45,449,4.9,Özel - Büyük,1.2,,,,,,
26,Etimesgut,Dentacenter Eryaman,Şehit Osman Avcı,Malazgirt 1071. Cd. 49A D:E,444 39 21,537,4.9,Özel - Büyük,1.2,,,,,,
27,Etimesgut,Diş Hekimi Şeyma Karaali ⭐ YENİ,Şehit Osman Avcı,Malazgirt 1071 Cad. No:50/A İç Kapı 20,0850 474 8148,1,5.0,Özel - Küçük,1.4,,,,,,
28,Etimesgut,Dentapros Eryaman ⭐ YENİ,Şehit Osman Avcı,"Göksu Prestij, Malazgirt 1071 50/A",0552 882 24 98,151,4.6,Özel - Orta,1.4,,,,,,
29,Etimesgut,Dt. Sıla Sucuka ⭐ YENİ,Şehit Osman Avcı,Fatih Sultan Mehmet Bulvarı 54CT,0312 911 14 54,52,4.9,Özel - Küçük,1.6,,,,,,
30,Yenimahalle,Uzm. Dt. Yakup Boz (Protez/Estetik),Yeni Batı,5404. Cd No:3-A,0506 039 10 00,31,5.0,Özel - Uzman (Protez),1.2,,,,,,
31,Yenimahalle,Özel Batışehir ADSP ⭐,Yeni Batı,Sezai Karakoç Cd,0312 512 84 84,313,5.0,Özel - Büyük,1,,,,,,
