Sıra,İlçe,Kurum Adı,Mahalle,Adres,Telefon,Yorum,Puan,Tip,Eve (km),Ziyaret,Notlar
1,Etimesgut,Etimesgut ADSM Türkkonut Semt,Devlet,Samsun 19 Mayıs Cd. No:4,0312 283 55 03,268,3.5,KAMU - Merkezi tedarik,3.9,,
2,Etimesgut,TC SB ADSM Topçu Semt,Topçu,1514. Sk. No:48/1 D:2.kat,0312 281 39 01,68,3.5,KAMU - Merkezi tedarik,5,,
3,Sincan,Sincan Ağız ve Diş Sağlığı Hastanesi,Gökçek,250. Cadde 2-B,0312 268 01 10,459,3.4,KAMU/Sağlık Bakanlığı (büyük),8.1,,
4,Sincan,Sincan State Hospital (dental),Gökçek,250. Cadde 2/A,0312 272 62 40,1285,2.4,KAMU/Devlet Hastanesi (genel hastane içi diş),8.1,,
5,Sincan,Dr. Nafiz Körez Sincan Devlet Hast. Organize Semt Polikliniği,Ahi Evran OSB,Akhun Cd 1. OSB No:18,0312 267 10 20,27,2.8,KAMU/Semt Poliklinik (dental durumu belirsiz - doğrulama gerekli),9,,
6,Etimesgut,T.C. SB Etimesgut ADSM (Merkez),Erler,Türkkızılayı Cd.,0312 293 30 00,326,3.1,KAMU - Merkezi tedarik,4.5,,
7,Çankaya-A Batı,Başkent Üniversitesi Ümitköy Şube,,"Mutlukent, 1963. Sk. No:17",0312 235 70 50,97,3.5,KAMU (Üni.),9.8,,
8,Çankaya-A Batı,Zekai Tahir Burak Ümitköy Semt Polikliniği,,"Ümit, 2494. Sk.",0312 236 32 07,65,3.8,KAMU (Diş var),9.8,,
9,Çankaya-A Batı,Gölbaşı ADSP Çayyolu Semt Poliklinik,,"Ümit, 2502. Sk. No:1",,37,3.9,KAMU,9.9,,
10,Çankaya-A Batı,Beytepe Day Hospital (Hacettepe Kampüs),,Beytepe Hacettepe Kampüs,0312 297 64 64,86,2.9,KAMU,13.2,,
11,Çankaya-A Batı,Bilkent University Health Center,,"Üniversiteler, Bilkent Kampüs Sağlık Merkezi",0312 290 16 66,20,2.2,KAMU (Üni.),14.2,,
12,Çankaya-A Batı,Beytepe Şehit Murat Erdi Eker Devlet Hastanesi,,"Ahlatlıbel, 1746. Sk. No:1",0312 906 06 70,690,3.5,KAMU,16.6,,
13,Çankaya-D Güney,Keklikpınarı Ağız ve Diş Sağlığı Merkezi,,"Keklik Pınarı, 882. Cd.",,144,3.4,KAMU ADSM,18.5,,
14,Çankaya-B Çukurambar/Balgat,Balgat Ağız ve Diş Sağlığı Merkezi,,"Oğuzlar, Balgat, Barış Manço Cd. No:22",0312 284 26 79,622,3.1,MEGA KAMU (24h),15.4,,
15,Çankaya-B Çukurambar/Balgat,Lokman Hekim Üniversitesi Söğütözü Diş Hastanesi,,"Söğütözü, 2179. Sk. No:4",0444 9911,184,4.7,ÜNİ. DİŞ HASTANESİ,12.8,,
16,Çankaya-A Batı,Ankara Bilkent Şehir Hastanesi Çocuk Hastanesi,,"Üniversiteler, Rıfat Börekçi Cd.",0312 552 60 00,365,3.2,KAMU,11.6,,
17,Çankaya-A Batı,Ankara Bilkent Şehir Hastanesi,,"Üniversiteler, 1604. Cd. No:9",0312 552 60 00,4095,3.1,MEGA KAMU (Diş bölümü),11.6,,
18,Çankaya-C Merkez,Bahçelievler Topraklık ADSM Semt Polikliniği,,"Bahçelievler, Azerbaycan Cd. No:43 D:1",0312 585 55 91,31,3.3,KAMU ADSM,14.9,,
19,Altındağ,Hacettepe Üniversitesi Diş Hekimliği Fakültesi,Hacettepe/Sıhhiye,Hacettepe Ünv. Kampüsü,0312 305 21 28,1468,4.0,KAMU/Üniversite Hastanesi (merkezi tedarik),17.8,,
20,Altındağ,75. Yıl Ankara Ağız ve Diş Sağlığı Merkezi (ADSM),Hacettepe/Ulucanlar,Ulucanlar Cd. (Ankara Hastanesi yanı),0312 595 97 00,587,3.1,KAMU/Sağlık Bakanlığı ADSM,18.5,,
21,Mamak,Mamak Ağız ve Diş Sağlığı Merkezi (ADSM),Çağlayan,Tıp Fakültesi Cd. No:264,0312 370 25 11,398,2.9,KAMU/Sağlık Bakanlığı ADSM,21.4,,
22,Çankaya-D Güney,Çukurca Aile Sağlığı Merkezi,,"Birlik, 393. Cd. Park Sitesi No:37/15 Giriş Kat",0312 495 87 71,46,2.9,KAMU ASM,21,,
23,Gölbaşı,Gölbaşı Ağız ve Diş Sağlığı Merkezi (ADSM),Bahçelievler,321. Sk. No:50,0312 485 27 45,324,3.3,KAMU/Sağlık Bakanlığı ADSM (24h),24.9,,
24,Altındağ,Karapürçek Ağız ve Diş Sağlığı Merkezi (ADSM),Karapürçek,518. Cd. No:2,0312 375 02 42,472,3.5,KAMU/Sağlık Bakanlığı ADSM,25.6,,
25,Pursaklar,Dt Sinan Pursaklar Nöbetçi Diş (KAMU),Merkez,Merkez Mah.,-,34,3.3,KAMU/Nöbetçi Diş Polikliniği,21.3,,
26,Pursaklar,Pursaklar Ağız ve Diş Sağlığı Merkezi (ADSM),Fatih,Töre Sk. No:51/A,0312 552 58 38,121,3.1,KAMU/Sağlık Bakanlığı ADSM,22.1,,
27,Kahramankazan,Kahramankazan Ağız ve Diş Sağlığı Merkezi (ADSM),Atatürk,Fevzi Çakmak Cd. No:10,0312 814 14 34,2,1.0,KAMU/Sağlık Bakanlığı ADSM,25,,
