il,ilce,uzaklik_km,ad,klinik,uzmanlik,adres,yorum,renk,varlik,konum,kaynak,lat,lng,not
Kirikkale,Merkez,1.0,Dt. Baris Kandehir,Kirikkale Uni. Dis Hek. Fak.,Dis hekimi,Yenidogan Mah. Mimar Sinan Cad. No:25,0,BEYAZ standart,60,100,dt,39.8410645,33.5063438,
Kirikkale,Merkez,1.0,Dt. Feyza Uyanik,Kirikkale Uni. Dis Hek. Fak.,Dis hekimi,Yenidogan Mah. Mimar Sinan Cad. No:25,1,BEYAZ standart,60,100,dt,39.8410645,33.5063438,
Kirikkale,Merkez,1.0,Uzm. Dr. Isil Yildirim Bildik,Kirikkale Uni. Dis Hek. Fak.,Restoratif dis tedavisi,Yenidogan Mah. Mimar Sinan Cad. No:25,0,MAVI UZMAN,60,100,dt,39.8410645,33.5063438,
Kirikkale,Merkez,1.0,Dr. Dt. Gulden Uzgoren,Kirikkale Uni. Dis Hek. Fak.,Ortodonti,Yenidogan Mah. Mimar Sinan Cad. No:25,0,MAVI UZMAN,60,100,dt,39.8410645,33.5063438,
Kirikkale,Merkez,1.0,Uzm. Dr. Ali Can Bulut,Kirikkale Uni. Dis Hek. Fak.,Protetik dis tedavisi,Yenidogan Mah. Mimar Sinan Cad. No:25,0,MAVI UZMAN,60,100,dt,39.8410645,33.5063438,
Kirikkale,Merkez,1.0,Dt. Damla Dogan,Kirikkale Uni. Dis Hek. Fak.,Dis hekimi,Yenidogan Mah. Mimar Sinan Cad. No:25,0,BEYAZ standart,60,100,dt,39.8410645,33.5063438,
Kirikkale,Merkez,1.0,Uzm. Dr. Selmi Yilmaz,Kirikkale Uni. Dis Hek. Fak.,Agiz dis cene radyolojisi,Yenidogan Mah. Mimar Sinan Cad. No:25,0,MAVI UZMAN,60,100,dt,39.8410645,33.5063438,
Kirikkale,Merkez,1.0,Uzm. Dr. Mehmet Zahit Adisen,Kirikkale Uni. Dis Hek. Fak.,Agiz dis cene radyolojisi,Yenidogan Mah. Mimar Sinan Cad. No:25,0,MAVI UZMAN,60,100,dt,39.8410645,33.5063438,
Kirikkale,Merkez,1.0,Dt. Berna Arfat,Kirikkale Uni. Dis Hek. Fak.,Dis hekimi,Yenidogan Mah. Mimar Sinan Cad. No:25,0,BEYAZ standart,60,100,dt,39.8410645,33.5063438,
Kirikkale,Merkez,5.27,Dt. Onder Bayram,Kirikkale Devlet Hastanesi,Dis hekimi,Yeni Mah. Saglik Cad.,2,BEYAZ standart,60,100,dt,39.8107872,33.4752312,
Kirikkale,Merkez,5.27,Dt. Hasan Murat Toredi,Kirikkale ADSM,Dis hekimi,Millet Cad.,0,BEYAZ standart,60,100,dt,39.8107872,33.4752312,
