il,ilce,uzaklik_km,ad,klinik,uzmanlik,adres,yorum,renk,varlik,konum,kaynak,lat,lng,not
Kirikkale,Merkez,0.06,Dt. Hasan Tezel,Ozel Alfadent ADSP,Dis hekimi,Gurler Mah. A.Turkes Blv. No:212/A,0,BEYAZ standart,60,100,dt,39.8466988,33.5159721,
Kirikkale,Merkez,0.06,Dt. Seda Nur Bozkurt,Ozel Alfadent ADSP,Dis hekimi,Gurler Mah. A.Turkes Blv. No:212/A,0,BEYAZ standart,60,100,dt,39.8466988,33.5159721,
Kirikkale,Merkez,0.06,Dt. Ramin Eyyub,Ozel Alfadent ADSP,Dis hekimi,Gurler Mah. A.Turkes Blv. No:212/A,0,BEYAZ standart,60,100,dt,39.8466988,33.5159721,
Kirikkale,Merkez,0.06,Dt. Kemal Karacol,Ozel Alfadent ADSP,Dis hekimi,Gurler Mah. A.Turkes Blv. No:212/A,0,BEYAZ standart,60,100,dt,39.8466988,33.5159721,
Kirikkale,Merkez,0.06,Dt. Aysegul Hazir,Ozel Alfadent ADSP,Dis hekimi,Gurler Mah. A.Turkes Blv. No:212/A,0,BEYAZ standart,60,100,dt,39.8466988,33.5159721,
Kirikkale,Merkez,0.06,Dt. Yusuf Islam Gunes,Ozel Alfadent ADSP,Dis hekimi,Gurler Mah. A.Turkes Blv. No:212/A,0,BEYAZ standart,60,100,dt,39.8466988,33.5159721,
Kirikkale,Merkez,0.73,Dt. Orhan Baysal,Orhan Baysal Muay.,Dis hekimi,Ovacik Mah. 5 Sok. 8/2,0,BEYAZ standart,60,100,dt,39.8421097,33.5092545,
Kirikkale,Merkez,0.87,Dt. Tacettin Silsupur,Tacettin Silsupur Muay.,Dis hekimi,Zafer Cad. Yenigun Kirtasiye Ustu k3,1,BEYAZ standart,60,100,dt,39.8451004,33.5053406,
Kirikkale,Merkez,0.87,Dt. Yunus Kalkan,Yunus Kalkan Muay.,Dis hekimi,Zafer Cad. Ulusoy Ishani No:42/106,0,BEYAZ standart,60,100,dt,39.8451004,33.5053406,
Kirikkale,Merkez,0.91,Dt. Zeynep Ozbayrak,Zeynep Ozbayrak Muay.,Dis hekimi,Yenidogan Mah. 609. Sok. No:5/3,0,BEYAZ standart,60,100,dt,39.8424835,33.5061951,
Kirikkale,Merkez,0.94,Dt. Esma Nur Keles,Esma Nur Keles Muay.,Dis hekimi,Yenidogan Mah. 608. Sokak,4,BEYAZ standart,60,100,dt,39.8421097,33.5061951,
Kirikkale,Merkez,0.95,Dt. Rafet Ulusoy,Rafet Ulusoy Muay.,Dis hekimi,Kirikkale merkez,0,BEYAZ standart,60,30,dt,39.8397827,33.5088768,"Konum: ilce-merkezine atanmis, DOGRULA"
Kirikkale,Merkez,0.95,Dt. Mustafa Kaan Karabudak,Mustafa Kaan Karabudak Muay.,Dis hekimi,Kirikkale merkez,0,BEYAZ standart,60,30,dt,39.8397827,33.5088768,"Konum: ilce-merkezine atanmis, DOGRULA"
Kirikkale,Merkez,0.95,Dt. Assozum Dasdemir,-,Dis hekimi,Kirikkale merkez,0,BEYAZ standart,60,30,dt,39.8397827,33.5088768,"Konum: ilce-merkezine atanmis, DOGRULA"
Kirikkale,Merkez,0.95,Dt. Orhan Uyar,Orhan Uyar Muay.,Dis hekimi,Ovacik Mah. Ankara Cad. No:21,0,BEYAZ standart,60,30,dt,39.8397827,33.5088768,"Konum: ilce-merkezine atanmis, DOGRULA"
Kirikkale,Merkez,0.95,Dt. Davut Cihangir,Davut Cihangir Muay.,Dis hekimi,Kirikkale merkez,0,BEYAZ standart,60,30,dt,39.8397827,33.5088768,"Konum: ilce-merkezine atanmis, DOGRULA"
Kirikkale,Merkez,0.95,Dt. Engin Aktas,Engin Aktas Muay.,Dis hekimi,Kirikkale merkez,0,BEYAZ standart,60,30,dt,39.8397827,33.5088768,"Konum: ilce-merkezine atanmis, DOGRULA"
Kirikkale,Merkez,0.96,Dt. Cemalettin Ozdemir,Cemalettin Ozdemir Dis Klinigi,Dis hekimi,Yeni Dogan Mah. Zafer Cad. Bastas Is Hani No:40 k2,2,BEYAZ standart,60,100,dt,39.8421097,33.5058632,
Kirikkale,Merkez,1.0,Dt. Zeki Guryil,Zeki Guryil Muay.,Dis hekimi,Cumhuriyet Cad. No:3 k1,0,BEYAZ standart,60,100,dt,39.8412247,33.5060501,
Kirikkale,Merkez,1.02,Dt. Hasim Korkut,Hasim Korkut Muay.,Dis hekimi,Yenidogan Mah. Cumhuriyet Cad. No:34/2,0,BEYAZ standart,60,100,dt,39.8409653,33.5060577,
