il,ilce,uzaklik_km,ad,klinik,uzmanlik,adres,yorum,renk,varlik,konum,kaynak,lat,lng,not
Mardin,Artuklu,0.02,Dt. Vedat Tari,Vedat Tari Muay.,Dis hekimi,Inonu Cad. Ramazanoglu Pasaji D:4,3,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Halis Okmen,Halis Okmen Muay.,Dis hekimi,Ozcelik Apt. k1 No:2 Yenisehir,1,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Yusuf Varisli,Yusuf Varisli Muay.,Dis hekimi,2.Cad No:11,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Abdulkerim Isiker,Abdulkerim Isiker Muay.,Dis hekimi,Kosesoy Apt. k2 No:8 (Valilik Karsisi),2,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Mahmut Persembe,Mahmut Persembe Muay.,Dis hekimi,Mardin merkez,1,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Nezir Damar,Nezir Damar Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Salih Kilic,Salih Kilic Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Belman Yaman,Belman Yaman Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Hakan Ipek,Hakan Ipek Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Ramazan Oltan,Ramazan Oltan Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Zilan Bicer,Zilan Bicer Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Senem Aktoprak,-,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Canan Alpergin,-,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Nagihan Argin,-,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Firat Paksoylu,Firat Paksoylu Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Isil Yorulmaz,Isil Yorulmaz Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Selcuk Ilhan,Selcuk Ilhan Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Mahmut Bulent Ozkan,Mahmut Ozkan Muay.,Dis hekimi,Yeni Mah. 94.Sok. No:2 D:3,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Gokhan Ozdemir,-,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Tezcan Ozgun,Tezcan Ozgun Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Mahsum Akaslan,Mahsum Akaslan Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Ahmet Karatas,Ahmet Karatas Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Halime Savci,Halime Savci Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Ozgur Sen,Ozgur Sen Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Osman Savci,Osman Savci Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Hatice Samanci,Hatice Samanci Muay.,Dis hekimi,Urfa Cad. Akbank Yani,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Nevzat Gok,Nevzat Gok Muay.,Dis hekimi,Sakarya Cad. No:37,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Bayram Kurkunc,Bayram Kurkunc Muay.,Dis hekimi,Eski Belediye Binasi k2 No:11,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Mehmet Dayan,Mehmet Dayan Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Fatma Bilgic,Fatma Bilgic Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Eliza Agaoglu,Eliza Agaoglu Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Onur Budak,Onur Budak Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Hasan Ertas,Hasan Ertas Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Halit Guzcan,Halit Guzcan Muay.,Dis hekimi,Mardin merkez,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,0.02,Dt. Mehmet Helvacier,Mehmet Helvacier Muay.,Dis hekimi,13 Mart Mah. Dabakoglu Apt. A-Blok k1 No:2,0,BEYAZ standart,60,30,dt,37.3129044,40.7339516,"Konum: ilce-merkezine atanmis, DOGRULA"
Mardin,Artuklu,1.14,Dt. Umit Ustuner,Alfadent Mardin,Dis hekimi,Yenisehir Mah. SSK Cad. Meric Apt. No:4/Z2,0,BEYAZ standart,60,100,dt,37.3199081,40.7248306,
