name,address,phone,lat,lng,neighborhood,district,province,type,rating,reviews
Dent Bağdat Ağız ve Diş Sağlığı Polikliniği,"Bağdat Office, Kardeşler, Bağdat Cd. No:29A",+90 507 959 64 10,39.7334392,37.0363432,Kardeşler,Merkez,Sivas,private_clinic,4.9,316
Sivas Diş Hekimi Ruveyda Korkmaz (Pedodonti),"Örtülüpınar, 36-Tekel Sk No:5, 58040 Merkez/Sivas",+90 501 911 72 23,39.745628,37.013105,Örtülüpınar,Merkez,Sivas,private_clinic,5.0,226
Diş Hekimi Niyazi YEŞİL,"Örtülüpınar, İnönü Blv. No:12 Kat:5",+90 539 899 48 52,39.7480602,37.0127517,Örtülüpınar,Merkez,Sivas,private_clinic,4.9,184
Aydent Ağız ve Diş Polikliniği Sivas,"Yeşilyurt, Sultan Şehir Blv 42/1",+90 553 249 49 49,39.742408,37.037165,Yeşilyurt,Merkez,Sivas,private_polyclinic,4.7,178
Özel Dt. Murat Coşkun Diş Kliniği,Örtülüpınar Mah. İstasyon Cad. Tokuş Ap. No:5 D:2,+90 553 075 10 44,39.7479002,37.0131075,Örtülüpınar,Merkez,Sivas,private_clinic,4.9,168
Asya Ağız ve Diş Sağlığı Polikliniği,"Paşabey, Kerim Çavuş Cd Kaptanlar C Blok No:13/A",+90 346 223 35 23,39.7477876,37.0213691,Paşabey,Merkez,Sivas,private_polyclinic,4.8,166
Uzm.Dt. Burakhan Albayrak (Ortodonti),"Bağdat Ofis, Kardeşler, Bağdat Cd. No:29/A (Dent Bağdat içinde)",+90 507 959 64 10,39.7333644,37.0363717,Kardeşler,Merkez,Sivas,private_polyclinic,5.0,164
Diş Hekimi Gökçe Ünal,"Örtülüpınar, İstasyon Cad. Esen Sok Levent Apt Kat 1 No D:1",+90 507 805 43 68,39.7459881,37.0117468,Örtülüpınar,Merkez,Sivas,private_clinic,5.0,131
DentSivas Özel Diş Polikliniği ve İmplant Mrk,"Cami-i Kebir, Şifahiye Sk. No: 13/A",+90 346 224 29 43,39.7477739,37.0144807,Cami-i Kebir,Merkez,Sivas,private_polyclinic,4.8,123
Ufuk Diş Polikliniği (Dr. Ufuk Cavus),"Örtülüpınar, İstasyon Cad. Esen Sok Levent Apt Kat:2 No:6 (McDonalds yanı)",+90 552 641 91 58,39.7459881,37.0117468,Örtülüpınar,Merkez,Sivas,private_polyclinic,4.9,107
Özel Atlas Ağız ve Diş Polikliniği,"Örtülüpınar Mah. Şehit Mustafa Erdem Sk., Büyük Otel Arkası No:14/A",,39.7463608,37.0105744,Örtülüpınar,Merkez,Sivas,private_polyclinic,4.2,106
Diş Hekimi Mehmet Korkmaz,"Örtülüpınar, İnönü Bulv. Tokuş Apt No:5/1 Kat:1",+90 346 221 99 84,39.7480816,37.0132614,Örtülüpınar,Merkez,Sivas,private_clinic,4.8,93
Özel Sivas Çınar Ağız ve Diş Polikliniği,Demircilerardı Mah. Atatürk Caddesi No:95B,+90 501 152 05 58,39.7451162,37.0263134,Demircilerardı,Merkez,Sivas,private_polyclinic,4.9,90
Özel Beyaz Dünya Ağız ve Diş Polikliniği,Eskikale Mah. Bankalar Cad. 2. Park Sokak No:40,+90 346 225 66 61,39.749044,37.0189335,Eskikale,Merkez,Sivas,private_polyclinic,4.6,77
Diş Hekimi Feyza Durna Dama,Demircilerardı mah. Atatürk Cad. yurtsever apt kat 1 no:57,+90 507 488 01 58,39.7483356,37.0225924,Demircilerardı,Merkez,Sivas,private_clinic,4.7,61
Diş hekimi Muhammed Koçak,Örtülüpınar Mah.,+90 346 217 13 72,39.7466956,37.0121144,Örtülüpınar,Merkez,Sivas,private_clinic,4.9,56
